fogground,snowfall,dust,snowdepth,mist,drizzle,hail,fastest2minwindspeed,thunder,glaze,snow,ice,fog,temperaturemin,fastest5secwindspeed,freezingfog,temperaturemax,blowingsnow,freezingrain,rain,highwind,date,precipitation,fogheavy,smokehaze,avgwindspeed,fastest2minwinddir,fastest5secwinddir
No,0,No,0,No,No,No,23.94,No,No,No,No,No,19,29.08,No,48,No,No,No,No,2007-02-17,0,No,No,7.61,230,200
No,0,No,0,No,No,No,21.92,No,No,No,No,Yes,50,25.05,No,73,No,No,Yes,No,2007-02-21,0.01,No,No,7.16,230,220
No,0,No,0,No,No,No,17.9,No,No,No,No,No,37,25.05,No,55,No,No,No,No,2007-02-23,0,No,No,7.61,290,260
No,0,No,0,No,No,No,14.09,No,No,No,No,No,37.9,17,No,61,No,No,No,No,2007-02-28,0,No,No,4.92,90,90
No,0,No,0,Yes,No,No,27.96,No,No,No,No,Yes,41,34.9,No,66.9,No,No,Yes,No,2007-03-01,0.2,No,No,10.29,170,150
No,0,No,0,No,No,No,16.11,No,No,No,No,No,39.9,21.03,No,70,No,No,Yes,No,2007-03-11,0,No,No,5.14,30,30
No,0,No,0,No,No,No,21.92,No,No,No,No,No,57,25.95,No,81,No,No,Yes,No,2007-03-15,0,No,No,9.4,220,210
No,0,No,0,No,No,No,19.91,No,No,No,No,No,33.1,29.08,No,48.9,No,No,No,No,2007-03-17,0,No,No,7.38,330,330
No,0,No,0,No,No,No,21.92,No,No,No,No,No,50,25.95,No,63,No,No,No,No,2007-03-21,0,No,No,9.17,90,90
No,0,No,0,No,No,No,17,No,No,No,No,No,53.1,21.03,No,82.9,No,No,No,No,2007-03-23,0,No,No,7.83,230,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,44.1,21.92,No,73.9,No,No,No,No,2007-03-26,0,No,No,6.04,230,210
Yes,0,No,0,Yes,No,No,16.11,Yes,No,No,No,Yes,53.1,21.03,No,86,No,No,No,No,2007-04-03,0,No,No,4.03,180,170
No,0,No,0,No,No,No,14.99,No,No,No,No,No,41,23.94,No,57.9,No,No,No,No,2007-04-05,0,No,No,3.58,310,320
No,0,No,0,No,No,No,19.91,No,No,No,No,No,27,25.05,No,55.9,No,No,No,No,2007-04-08,0,No,No,2.91,240,240
No,0,No,0,No,Yes,No,17.9,Yes,No,No,No,Yes,46,25.05,No,59,No,No,Yes,No,2007-04-11,0.73,No,Yes,6.49,140,150
No,0,No,0,Yes,No,No,25.05,Yes,No,No,No,Yes,42.1,29.97,No,77,No,No,Yes,No,2007-04-15,1.76,No,No,12.75,180,300
No,0,No,0,No,No,No,19.91,No,No,No,No,No,46.9,29.08,No,72,No,No,No,No,2007-04-17,0,No,No,7.61,360,320
No,0,No,0,No,No,No,14.99,No,No,No,No,No,42.1,19.91,No,66.9,No,No,No,No,2007-04-18,0,No,No,6.04,90,100
No,0,No,0,Yes,No,No,12.97,No,No,No,No,Yes,44.1,16.11,No,57.9,No,No,Yes,No,2007-04-19,0.04,No,No,4.47,90,90
No,0,No,0,Yes,No,No,8.95,No,No,No,No,Yes,39.9,14.99,No,77,No,No,No,No,2007-04-21,0,No,No,2.24,50,140
No,0,No,0,No,No,No,23.94,No,No,No,No,Yes,61,29.97,No,87.1,No,No,No,No,2007-04-25,0,No,Yes,10.29,230,230
No,0,No,0,No,No,No,17.9,No,No,No,No,No,53.1,25.05,No,80.1,No,No,No,No,2007-04-29,0,No,No,6.49,300,290
No,0,No,0,Yes,No,No,10.07,No,No,No,No,Yes,63,12.97,No,82.9,No,No,No,No,2007-05-10,0,Yes,Yes,2.91,20,20
No,0,No,0,Yes,No,No,12.97,No,No,No,No,Yes,43,16.11,No,73,No,No,No,No,2007-05-19,0,No,No,3.58,290,280
No,0,No,0,No,No,No,17,No,No,No,No,No,54,19.91,No,88,No,No,No,No,2007-05-21,0,No,No,3.36,120,120
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,66,17.9,No,82.9,No,No,Yes,No,2007-06-02,0.13,No,No,7.38,100,90
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,73,19.91,No,96.1,No,No,No,No,2007-06-08,0,No,Yes,8.05,240,240
No,0,No,0,Yes,No,No,14.99,No,No,No,No,Yes,69.1,19.91,No,87.1,No,No,No,No,2007-06-10,0,No,Yes,6.49,100,100
No,0,No,0,Yes,No,No,12.08,No,No,No,No,Yes,63,14.09,No,96.1,No,No,No,No,2007-06-18,0,No,Yes,3.13,220,220
No,0,No,0,Yes,No,No,36.01,Yes,No,No,No,Yes,70,42.95,No,95,No,No,Yes,Yes,2007-07-11,0.82,No,Yes,10.07,220,210
No,0,No,0,No,No,No,8.95,No,No,No,No,Yes,64,12.97,No,81,No,No,Yes,No,2007-07-13,0,No,Yes,2.91,50,110
No,0,No,0,No,No,No,16.11,No,No,No,No,No,70,19.91,No,91.9,No,No,No,No,2007-07-16,0,No,Yes,8.05,230,210
No,0,No,0,Yes,No,No,14.99,Yes,No,No,No,Yes,71.1,17.9,No,91,No,No,Yes,No,2007-07-18,0.08,No,No,5.82,240,230
No,0,No,0,Yes,No,No,17.9,No,No,No,No,Yes,71.1,21.92,No,93.9,No,No,No,No,2007-07-19,0,No,No,7.38,230,230
No,0,No,0,No,No,No,17,No,No,No,No,No,62.1,19.91,No,84,No,No,No,No,2007-07-21,0,No,No,6.71,40,30
Yes,0,No,0,Yes,No,No,16.11,No,No,No,No,Yes,66.9,19.91,No,89.1,No,No,No,No,2007-07-29,0,No,No,4.25,160,150
No,0,No,0,Yes,No,No,14.99,No,No,No,No,Yes,70,17,No,89.1,No,No,No,No,2007-07-31,0,Yes,Yes,6.26,40,50
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,69.1,17,No,91.9,No,No,No,No,2007-08-01,0,No,Yes,4.47,80,90
No,0,No,0,Yes,No,No,16.11,No,No,No,No,Yes,75.9,19.91,No,102,No,No,Yes,No,2007-08-08,0.17,No,Yes,4.47,200,220
No,0,No,0,No,No,No,21.03,Yes,No,No,No,Yes,73.9,27.96,No,97,No,No,Yes,No,2007-08-17,0.01,No,Yes,6.71,30,40
No,0,No,0,No,No,No,17,No,No,No,No,No,70,21.03,No,97,No,No,No,No,2007-08-19,0,No,Yes,9.84,220,210
No,0,No,0,Yes,No,No,17,No,No,No,No,Yes,75,21.03,No,99,No,No,No,No,2007-08-25,0,No,Yes,8.95,220,210
No,0,No,0,No,No,No,16.11,No,No,No,No,No,66.9,21.92,No,100.9,No,No,No,No,2007-09-10,0,No,No,7.16,210,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,64,21.03,No,84.9,No,No,No,No,2007-09-28,0,No,No,6.49,320,340
No,0,No,0,No,No,No,19.91,No,No,No,No,No,50,21.92,No,79,No,No,No,No,2007-09-29,0,No,No,6.71,40,20
No,0,No,0,No,No,No,16.11,No,No,No,No,No,48,21.92,No,80.1,No,No,No,No,2007-09-30,0,No,No,6.71,50,90
No,0,No,0,No,No,No,14.09,No,No,No,No,No,53.1,17,No,82,No,No,No,No,2007-10-01,0,No,No,6.71,80,90
No,0,No,0,Yes,No,No,10.07,No,No,No,No,Yes,63,14.09,No,84.9,No,No,No,No,2007-10-03,0,Yes,No,3.36,70,90
No,0,No,0,Yes,No,No,8.05,No,No,No,No,Yes,64,10.07,No,90,No,No,No,No,2007-10-07,0,Yes,No,1.79,170,160
Yes,0,No,0,No,No,No,8.05,No,No,No,No,Yes,64.9,12.97,No,93,No,No,No,No,2007-10-08,0,No,No,1.79,180,170
No,0,No,0,No,No,No,14.99,No,No,No,No,No,51.1,21.92,No,69.1,No,No,No,No,2007-10-11,0,No,No,7.61,300,330
No,0,No,0,Yes,No,No,21.03,Yes,No,No,No,Yes,70,25.95,No,78.1,No,No,Yes,No,2007-10-24,1.72,No,No,6.93,210,220
No,0,No,0,No,No,No,16.11,No,No,No,No,No,37,19.91,No,61,No,No,No,No,2007-10-29,0,No,No,4.47,50,40
No,0,No,0,No,No,No,8.05,No,No,No,No,Yes,33.1,12.08,No,66.9,No,No,No,No,2007-10-30,0,No,No,1.12,50,140
No,0,No,0,No,No,No,19.91,No,No,No,No,Yes,53.1,25.95,No,78.1,No,No,No,No,2007-11-01,0,No,No,4.47,40,50
No,0,No,0,No,No,No,12.97,No,No,No,No,No,30,16.11,No,55,No,No,No,No,2007-11-07,0,No,No,3.8,40,20
No,0,No,0,No,No,No,12.08,No,No,No,No,No,34,14.99,No,61,No,No,Yes,No,2007-11-09,0,No,No,4.25,210,230
No,0,No,0,No,No,No,17,No,No,No,No,Yes,28,23.04,No,60.1,No,No,No,No,2007-11-17,0,No,No,4.25,230,210
No,0,No,0,No,No,No,14.99,No,No,No,No,No,32,17.9,No,57,No,No,No,No,2007-11-28,0,No,No,4.47,120,90
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,36,14.09,No,63,No,No,No,No,2007-11-29,0,No,No,3.36,260,230
No,0,No,0,No,No,No,12.97,No,No,No,No,No,32,14.99,No,57,No,No,No,No,2007-11-30,0,No,No,2.68,50,30
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,39.9,16.11,No,71.1,No,No,No,No,2007-12-08,0,No,Yes,5.37,230,100
No,0,No,0,No,No,No,21.92,No,No,No,No,Yes,55.9,25.95,No,79,No,No,No,No,2007-12-12,0,No,Yes,8.72,240,240
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,36,16.11,No,57.9,No,No,No,No,2007-12-27,0,No,No,3.58,220,220
No,0,No,0,Yes,No,No,27.96,No,No,No,No,Yes,55,38.03,No,71.1,No,No,Yes,No,2007-12-29,0.13,No,No,10.74,190,190
No,0,No,0,No,No,No,16.11,No,No,No,No,No,17.1,21.03,No,45,No,No,No,No,2008-01-04,0,No,No,6.04,220,240
No,0,No,0,Yes,No,No,16.11,No,No,No,No,Yes,46.9,19.91,No,55.9,No,No,Yes,No,2008-01-10,0.15,No,No,5.14,100,100
No,0,No,0,No,No,No,12.97,No,No,No,No,No,39,14.09,No,46.9,No,No,Yes,No,2008-01-13,0,No,No,5.82,50,40
No,0,No,0,No,No,No,14.09,No,No,No,No,No,21,21.92,No,39,No,No,No,No,2008-01-25,0,No,No,3.8,340,340
No,0,No,0,No,No,No,12.08,No,No,No,No,No,28.9,14.99,No,48,No,No,No,No,2008-01-26,0,No,No,4.7,220,230
No,0,No,0,No,No,No,12.08,No,No,No,No,No,24.1,14.99,No,55,No,No,No,No,2008-01-28,0,No,No,2.01,270,280
No,0,No,0,No,Yes,No,14.99,No,No,Yes,Yes,Yes,34,23.04,No,55.9,No,No,Yes,No,2008-02-13,0.92,Yes,No,4.92,300,310
No,0,No,0,Yes,No,No,14.09,No,No,Yes,Yes,Yes,28,21.92,No,50,No,No,Yes,No,2008-02-14,0.01,No,No,5.14,320,330
No,0,No,0,No,No,No,17,No,No,No,No,No,41,23.04,No,57.9,No,No,No,No,2008-02-16,0,No,No,7.16,130,130
No,0,No,0,No,No,No,23.04,No,No,No,No,No,37,31.09,No,64.9,No,No,Yes,No,2008-02-17,0,No,No,8.72,170,170
No,0,No,0,No,No,No,29.97,No,No,No,No,No,30.9,38.03,No,64.9,No,No,No,No,2008-02-20,0,No,No,11.18,220,220
No,0,No,0,No,No,No,23.94,Yes,No,No,No,Yes,46.9,31.09,No,61,No,No,Yes,No,2008-02-26,0.47,No,Yes,8.72,230,230
No,0,No,0,No,No,No,17,No,No,No,No,No,21.9,21.92,No,43,No,No,No,No,2008-02-28,0,No,Yes,5.82,260,260
No,0,No,0,Yes,No,Yes,36.91,Yes,No,No,No,Yes,57.9,46.98,No,73.9,No,No,Yes,No,2008-03-04,2,No,No,15.88,240,260
No,0,No,0,No,No,No,23.94,No,No,No,No,No,44.1,31.99,No,64,No,No,Yes,No,2008-03-05,0,No,Yes,8.5,230,240
No,0,No,0,No,No,No,25.05,No,No,No,No,No,41,31.09,No,66,No,No,Yes,No,2008-03-20,0,No,No,10.51,220,230
No,0,No,0,No,No,No,21.92,No,No,No,No,No,41,27.96,No,73,No,No,No,No,2008-03-26,0,No,No,13.42,220,240
No,0,No,0,Yes,Yes,Yes,16.11,No,No,No,No,Yes,41,21.03,No,45,No,No,Yes,No,2008-03-30,0.36,No,Yes,9.17,60,50
No,0,No,0,Yes,No,Yes,14.99,No,No,No,No,Yes,44.1,19.91,No,60.1,No,No,Yes,No,2008-03-31,0.98,Yes,No,4.7,180,180
No,0,No,0,Yes,Yes,Yes,14.09,No,No,No,No,Yes,48.9,17.9,No,61,No,No,Yes,No,2008-04-06,0.16,No,No,9.17,60,30
No,0,No,0,Yes,Yes,No,14.09,No,No,No,No,Yes,46,17,No,55.9,No,No,Yes,No,2008-04-07,0,No,Yes,8.72,40,50
No,0,Yes,0,Yes,No,No,14.99,No,No,No,No,Yes,46.9,17,No,64,No,No,No,No,2008-04-08,0,No,Yes,8.72,50,20
No,0,No,0,No,No,No,16.11,No,No,No,No,No,32,21.03,No,68,No,No,No,No,2008-04-16,0,No,No,3.8,50,10
No,0,No,0,Yes,No,Yes,23.04,No,No,No,No,Yes,55.9,27.96,No,71.1,No,No,Yes,No,2008-04-22,0.23,No,No,11.41,40,30
No,0,No,0,Yes,No,No,12.08,No,No,No,No,Yes,51.1,16.11,No,80.1,No,No,No,No,2008-04-24,0,No,No,2.46,90,120
No,0,No,0,No,No,No,10.07,No,No,No,No,No,37.9,12.97,No,66.9,No,No,No,No,2008-04-30,0,No,No,2.91,230,230
No,0,No,0,Yes,No,No,12.97,No,No,No,No,Yes,60.1,17,No,82,No,No,Yes,No,2008-05-04,0,No,No,5.14,220,30
No,0,No,0,Yes,No,Yes,23.94,Yes,No,No,No,Yes,63,33.11,No,82,No,No,Yes,No,2008-05-09,0.43,No,No,10.29,200,200
No,0,No,0,Yes,No,Yes,16.11,No,No,No,No,Yes,60.1,19.91,No,78.1,No,No,Yes,No,2008-05-15,0.11,No,No,7.61,220,240
No,0,No,0,No,No,No,19.91,No,No,No,No,No,46.9,25.95,No,75,No,No,No,No,2008-05-17,0,No,No,8.05,230,220
No,0,No,0,No,No,No,19.91,No,No,No,No,No,55,23.94,No,84,No,No,No,No,2008-05-26,0,No,No,10.29,220,240
No,0,Yes,0,Yes,No,No,21.03,Yes,No,No,No,Yes,68,25.05,No,89.1,No,No,No,No,2008-05-31,0,No,Yes,10.29,230,220
No,0,Yes,0,Yes,No,No,17,No,No,No,No,Yes,75.9,19.91,No,96.1,No,No,No,No,2008-06-05,0,No,Yes,5.82,220,230
No,0,No,0,No,No,No,14.99,No,No,No,No,No,75.9,17.9,No,99,No,No,No,No,2008-06-06,0,No,No,6.49,230,240
No,0,No,0,No,No,Yes,17.9,No,No,No,No,No,69.1,23.94,No,96.1,No,No,Yes,No,2008-06-14,0.01,No,No,7.61,200,170
No,0,No,0,Yes,No,No,17,Yes,No,No,No,Yes,66.9,31.09,No,95,No,No,Yes,No,2008-06-16,0.1,No,No,5.37,230,220
No,0,Yes,0,Yes,No,No,16.11,Yes,No,No,No,Yes,68,23.94,No,90,No,No,Yes,No,2008-06-17,0,No,Yes,5.59,280,350
No,0,No,0,Yes,No,Yes,17.9,Yes,No,No,No,Yes,69.1,23.04,No,87.1,No,No,Yes,No,2008-07-05,0.86,No,Yes,5.14,270,280
No,0,No,0,Yes,No,Yes,23.04,Yes,No,No,No,Yes,70,36.01,No,90,No,No,Yes,No,2008-07-09,0.97,No,No,10.51,300,300
No,0,No,0,Yes,No,Yes,16.11,No,No,No,No,Yes,71.1,19.91,No,89.1,No,No,Yes,No,2008-07-10,0,No,No,4.92,190,190
No,0,Yes,0,Yes,No,Yes,10.07,No,No,No,No,Yes,69.1,14.09,No,79,No,No,Yes,No,2008-07-14,0.53,No,Yes,4.25,30,40
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,66,17.9,No,87.1,Yes,No,No,No,2008-07-15,0,Yes,Yes,6.26,40,40
No,0,No,0,Yes,No,Yes,19.91,No,No,No,No,Yes,70,23.94,No,90,No,No,Yes,No,2008-07-19,0.76,No,No,3.36,150,130
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,64.9,14.09,No,87.1,No,No,No,No,2008-07-24,0,No,No,3.36,40,350
No,0,Yes,0,Yes,No,No,17,No,No,No,No,Yes,66,21.03,No,87.1,No,No,No,No,2008-07-26,0,No,Yes,6.93,220,210
No,0,Yes,0,Yes,No,No,17,Yes,No,No,No,Yes,75,23.04,No,93,No,No,Yes,No,2008-07-30,0,No,Yes,7.61,230,240
No,0,No,0,No,No,No,12.97,No,No,No,No,No,70,17,No,91.9,No,No,No,No,2008-08-03,0,No,No,3.36,40,330
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,70,17,No,91,No,No,No,No,2008-08-08,0,No,No,4.92,220,20
No,0,No,0,No,No,No,10.07,No,No,No,No,No,55.9,16.11,No,89.1,No,No,No,No,2008-08-12,0,No,No,3.58,170,140
No,0,No,0,Yes,No,Yes,14.09,No,No,No,No,Yes,61,16.11,No,73.9,Yes,No,Yes,No,2008-08-13,0.11,No,Yes,3.8,130,130
No,0,Yes,0,No,No,No,14.99,Yes,No,No,No,Yes,64.9,17,No,84.9,No,No,Yes,No,2008-08-17,0,No,Yes,2.46,170,130
No,0,Yes,0,Yes,No,No,10.07,No,No,No,No,Yes,66.9,14.09,No,95,No,No,No,No,2008-08-19,0,No,Yes,2.91,200,180
No,0,No,0,Yes,No,Yes,14.99,No,No,No,No,Yes,72,17,No,81,No,No,Yes,No,2008-08-26,0.07,No,No,5.82,80,90
No,0,Yes,0,No,No,Yes,29.97,Yes,No,No,No,Yes,70,38.03,No,91,No,No,No,Yes,2008-08-30,0.64,No,Yes,4.47,60,60
No,0,No,0,Yes,No,Yes,14.99,Yes,No,No,No,Yes,64,17.9,No,82,No,No,Yes,No,2008-09-05,0.47,No,No,7.61,60,90
No,0,No,0,Yes,No,No,12.08,No,No,No,No,Yes,66.9,14.99,No,90,No,No,No,No,2008-09-08,0,No,No,3.13,130,170
No,0,No,0,Yes,No,Yes,12.97,No,No,No,No,Yes,66.9,14.09,No,75,No,No,Yes,No,2008-09-10,1.19,No,No,5.14,30,30
No,0,No,0,Yes,No,No,10.07,No,No,No,No,Yes,60.1,14.09,No,73.9,No,No,Yes,No,2008-09-17,0,No,No,3.8,30,50
No,0,No,0,Yes,No,No,16.11,No,No,No,No,Yes,55.9,21.03,No,81,No,No,No,No,2008-09-18,0,No,No,5.37,40,50
No,0,No,0,No,No,No,17.9,No,No,No,No,No,55.9,23.94,No,75.9,No,No,No,No,2008-09-19,0,No,No,9.17,50,40
No,0,No,0,Yes,No,Yes,21.92,No,No,No,No,Yes,63,31.09,No,81,No,No,Yes,No,2008-09-26,0.96,No,No,10.07,30,30
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,46.9,17,No,75,No,No,No,No,2008-10-03,0,No,No,2.68,250,250
No,0,No,0,No,No,No,12.97,No,No,No,No,No,52,14.99,No,73.9,No,No,No,No,2008-10-08,0,No,No,6.04,170,180
No,0,No,0,Yes,No,Yes,16.11,No,No,No,No,Yes,64.9,17.9,No,73,No,No,Yes,No,2008-10-10,0.02,No,No,6.71,50,40
No,0,No,0,No,No,No,14.99,No,No,No,No,No,60.1,19.91,No,71.1,No,No,No,No,2008-10-11,0,No,No,9.62,40,50
No,0,No,0,No,No,No,16.11,No,No,No,No,No,55.9,19.91,No,78.1,No,No,No,No,2008-10-12,0,No,No,8.72,50,90
No,0,No,0,No,No,No,8.95,No,No,No,No,Yes,54,12.08,No,87.1,No,No,No,No,2008-10-15,0,No,No,1.12,50,60
No,0,No,0,No,No,No,14.09,No,No,No,No,No,39,17.9,No,60.1,No,No,No,No,2008-10-23,0,No,No,6.26,110,80
No,0,No,0,Yes,No,Yes,14.99,No,No,No,No,Yes,57.9,19.91,No,77,No,No,Yes,No,2008-10-25,0.02,No,No,7.61,210,230
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,44.1,,No,70,No,No,No,No,2008-10-26,0,No,No,3.13,230,
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,39,16.11,No,61,No,No,No,No,2008-11-12,0,No,No,4.03,90,90
No,0,No,0,Yes,Yes,Yes,14.99,No,No,No,No,Yes,51.1,23.94,No,66,No,No,Yes,No,2008-11-13,0.09,No,No,4.7,140,150
No,0,No,0,Yes,No,Yes,29.97,Yes,No,No,No,Yes,51.1,36.01,No,75.9,No,No,Yes,No,2008-11-15,0.62,No,No,14.54,220,240
No,0,No,0,No,No,No,14.09,No,No,No,No,No,27,16.11,No,45,No,No,No,No,2008-11-19,0,No,No,6.04,240,230
No,0,No,0,No,No,No,10.07,No,No,No,No,No,39,12.97,No,68,No,No,No,No,2008-11-28,0,No,No,3.13,260,270
No,0,No,0,Yes,No,No,34.9,No,No,No,No,Yes,36,42.95,No,52,No,No,No,No,2008-12-01,0,No,No,14.09,220,220
No,0,No,0,Yes,No,No,17,No,No,No,No,Yes,25,23.04,No,43,No,No,No,No,2008-12-07,0,No,No,4.47,290,270
No,0,No,0,Yes,Yes,Yes,17.9,No,No,No,No,Yes,61,21.92,No,70,No,No,Yes,No,2008-12-10,0.07,No,No,10.51,170,170
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,44.1,14.99,No,57.9,No,No,Yes,No,2008-12-17,0,Yes,No,4.47,230,240
No,0,No,0,No,No,No,14.99,No,No,No,No,No,21.9,17,No,44.1,No,No,No,No,2008-12-23,0,No,No,4.7,180,170
No,0,No,0,No,No,Yes,12.97,No,No,Yes,No,Yes,35.1,16.11,No,50,Yes,No,Yes,No,2009-01-19,0.02,Yes,No,5.82,20,30
No,3.5,No,2.01,Yes,No,No,19.91,No,No,Yes,No,Yes,23,25.95,No,35.1,No,No,Yes,No,2009-01-20,0.19,No,No,6.71,30,30
No,0,No,2.01,No,No,No,12.97,No,No,No,No,No,12.9,17,No,35.1,No,No,No,No,2009-01-21,0,No,Yes,4.7,240,270
No,0,No,0,No,No,No,14.09,No,No,No,No,No,21.9,14.99,No,48.9,No,No,No,No,2009-01-22,0,No,No,5.82,230,220
No,0,No,0,No,No,No,25.05,No,No,No,No,No,32,29.08,No,62.1,No,No,No,No,2009-02-01,0,No,No,11.86,220,240
No,0,No,0,No,No,No,23.94,No,No,No,No,No,51.1,36.91,No,69.1,No,No,No,No,2009-02-12,0,No,No,11.86,270,260
No,0,No,0,No,No,No,21.92,No,No,No,No,No,41,29.08,No,68,No,No,No,No,2009-02-13,0,No,No,6.93,290,320
No,0,No,0,No,No,Yes,16.11,No,No,Yes,No,No,30.9,21.03,No,46,No,No,Yes,No,2009-02-16,0,No,No,7.38,60,50
No,0,No,0,Yes,Yes,Yes,17,No,No,No,No,Yes,39.9,23.04,No,57,No,No,Yes,No,2009-02-18,0.59,No,No,10.74,220,210
No,0,No,0,No,No,No,12.08,No,No,No,No,No,25,17,No,55.9,No,No,No,No,2009-02-25,0,No,No,3.8,200,210
No,0,No,0,No,No,No,17,No,No,No,No,No,28.9,21.03,No,61,No,No,No,No,2009-03-05,0,No,No,8.28,220,230
No,0,No,0,No,No,No,19.91,No,No,No,No,No,55,29.08,No,84,No,No,No,No,2009-03-09,0,No,No,8.72,270,270
No,0,No,0,Yes,No,No,14.09,No,No,No,No,Yes,41,19.91,No,60.1,No,No,No,No,2009-03-20,0,No,No,6.93,40,40
No,0,No,0,No,No,Yes,14.09,No,No,No,No,No,53.1,17,No,70,No,No,Yes,No,2009-04-01,0.01,No,No,6.49,180,200
No,0,No,0,Yes,Yes,Yes,34.9,No,No,No,No,Yes,55,42.95,No,78.1,No,No,Yes,No,2009-04-03,0.06,No,No,15.21,230,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,46.9,21.92,No,73.9,No,No,No,No,2009-04-04,0,No,No,6.04,260,290
No,0,No,0,No,No,No,14.99,No,No,No,No,No,43,21.03,No,70,No,No,No,No,2009-04-09,0,No,No,4.7,240,240
No,0,No,0,No,No,No,19.91,No,No,No,No,No,43,23.94,No,68,No,No,No,No,2009-04-16,0,No,No,9.4,40,40
No,0,No,0,No,No,Yes,21.03,No,No,No,No,No,53.1,25.05,No,73,No,No,Yes,No,2009-04-19,0,No,No,8.5,230,240
No,0,No,0,No,No,No,29.08,No,No,No,No,No,46.9,36.91,No,64.9,No,No,No,No,2009-04-22,0,No,No,8.28,300,300
No,0,No,0,No,No,Yes,21.03,Yes,No,No,No,Yes,61,23.94,No,82.9,Yes,No,No,No,2009-05-06,0.17,Yes,Yes,6.93,230,220
No,0,No,0,Yes,No,No,19.91,No,No,No,No,Yes,62.1,23.04,No,82,No,No,Yes,No,2009-05-08,0,No,No,7.38,230,220
No,0,No,0,No,No,No,31.09,Yes,No,No,No,Yes,66.9,44.07,No,90,No,No,Yes,No,2009-05-09,0.08,No,No,12.08,270,270
No,0,No,0,No,No,No,17,No,No,No,No,No,55,25.95,No,75,No,No,No,No,2009-05-13,0,No,No,7.61,100,120
No,0,No,0,No,No,No,12.97,No,No,No,No,No,69.1,14.99,No,84.9,No,No,No,No,2009-05-15,0,No,No,6.04,150,210
No,0,No,0,Yes,No,Yes,17.9,No,No,No,No,Yes,52,25.05,No,73,No,No,Yes,No,2009-05-17,0.29,No,No,8.95,30,40
No,0,No,0,No,No,Yes,21.92,No,No,No,No,No,48.9,29.08,No,66.9,No,No,Yes,No,2009-05-18,0.06,No,No,9.62,40,40
No,0,No,0,No,No,No,14.09,No,No,No,No,No,44.1,23.04,No,79,No,No,No,No,2009-05-20,0,No,No,7.61,100,100
No,0,No,0,No,No,No,10.07,No,No,No,No,No,57.9,14.09,No,87.1,No,No,No,No,2009-05-22,0,No,No,3.8,150,150
